publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2022p021007,earthquake,2022-01-08T18:32:43.968Z,2022-01-08T18:36:14.506Z,175.56268310,-39.26105499,0.96284547,4.51152086,MLv,,LOCSAT,preliminary,manual,iasp91,17,14,7,0.00689535,63.39723206,0.12608025,0.34734250
2022p011031,earthquake,2022-01-05T01:57:41.185Z,2022-01-05T02:04:43.158Z,175.54443360,-39.27204895,0.34723233,4.55657578,M,,LOCSAT,confirmed,manual,iasp91,14,11,4,0.01399568,184.36166380,0.08369768,0.00000000
2022p009040,earthquake,2022-01-04T08:16:37.027Z,2022-01-04T08:19:59.143Z,175.54956050,-39.26879120,0.43820229,5.65330553,M,,LOCSAT,confirmed,manual,iasp91,14,10,2,0.00943379,172.80078120,0.13367969,0.00000000
2022p007876,earthquake,2022-01-03T21:56:43.166Z,2022-01-03T22:02:37.806Z,175.57296750,-39.27177811,0.44280673,4.46299648,MLv,,LOCSAT,confirmed,manual,iasp91,24,15,7,0.00958781,77.88110352,0.14700775,0.09898951
2022p004136,earthquake,2022-01-02T12:44:05.020Z,2022-01-02T12:47:35.970Z,175.57015990,-39.27230072,0.91953281,3.96475601,MLv,,LOCSAT,confirmed,manual,iasp91,20,14,7,0.00791954,72.55709839,0.08311337,0.31027102
2022p004069,earthquake,2022-01-02T12:08:16.503Z,2022-01-02T12:11:40.854Z,175.56584170,-39.26137924,0.34070381,4.54065561,M,,LOCSAT,confirmed,manual,iasp91,19,15,5,0.00728830,63.97932434,0.12730361,0.00000000
2022p004057,earthquake,2022-01-02T12:01:50.926Z,2022-01-02T12:03:05.194Z,175.57392880,-39.26059341,0.72927761,4.08025551,M,,LOCSAT,confirmed,manual,iasp91,21,15,7,0.01200612,67.86126709,0.08002672,0.00000000
2022p004050,earthquake,2022-01-02T11:58:08.887Z,2022-01-02T12:05:31.261Z,175.57370000,-39.26295853,0.47527551,4.32133484,M,,LOCSAT,confirmed,manual,iasp91,17,13,3,0.01057527,69.33235931,0.10106791,0.00000000
2022p004049,earthquake,2022-01-02T11:57:43.479Z,2022-01-02T12:02:00.887Z,175.59590150,-39.29092789,-0.13445478,5.00000000,M,operator assigned,LOCSAT,preliminary,manual,iasp91,11,7,2,0.03605126,186.40631720,0.86794686,0.00000000
2022p004021,earthquake,2022-01-02T11:42:24.357Z,2022-01-02T11:44:31.998Z,175.56948850,-39.26115036,0.69712303,3.87403846,M,,LOCSAT,confirmed,manual,iasp91,19,14,7,0.00908556,59.33351135,0.11045050,0.00000000
2022p004016,earthquake,2022-01-02T11:40:16.015Z,2022-01-02T11:44:48.812Z,175.57038880,-39.26163864,2.49479236,2.96778059,M,,LOCSAT,confirmed,manual,iasp91,43,37,49,0.00922931,43.32463074,0.31947499,0.00000000
2022p003922,earthquake,2022-01-02T10:49:58.259Z,2022-01-02T10:53:13.608Z,175.54536440,-39.26691818,0.38146489,4.18277550,M,,LOCSAT,confirmed,manual,iasp91,16,14,5,0.01268954,181.45571900,0.09307384,0.00000000
2022p003896,earthquake,2022-01-02T10:36:08.264Z,2022-01-02T10:38:47.056Z,175.56977840,-39.26329041,0.95803001,4.03142500,M,,LOCSAT,confirmed,manual,iasp91,25,18,13,0.00781216,53.15277100,0.11663080,0.00000000
2022p003574,earthquake,2022-01-02T07:44:33.288Z,2022-01-02T07:50:27.432Z,175.56874080,-39.26123428,0.49989145,4.53253079,M,,LOCSAT,confirmed,manual,iasp91,18,16,6,0.00864320,65.45659637,0.08043567,0.00000000
2022p003569,earthquake,2022-01-02T07:41:44.637Z,2022-01-02T07:44:01.001Z,175.56413270,-39.26089478,0.35255932,4.65116644,M,,LOCSAT,confirmed,manual,iasp91,13,11,3,0.00726745,105.90362550,0.16182336,0.00000000
2022p003100,earthquake,2022-01-02T03:31:42.897Z,2022-01-02T03:40:37.309Z,175.55931090,-39.26373291,0.51004470,4.19680500,M,,LOCSAT,confirmed,manual,iasp91,15,12,6,0.00455634,136.34992980,0.10590812,0.00000000
2022p002981,earthquake,2022-01-02T02:28:18.993Z,2022-01-02T02:35:11.471Z,175.51374820,-39.27064896,0.69081089,5.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,9,4,0.03423573,211.19432070,0.26617931,0.00000000
2022p002844,earthquake,2022-01-02T01:15:46.220Z,2022-01-02T01:18:19.478Z,175.56547550,-39.25741959,0.80473834,4.91579294,M,,LOCSAT,confirmed,manual,iasp91,17,14,6,0.01003566,61.63826752,0.12342362,0.00000000
2022p002526,earthquake,2022-01-01T22:26:20.996Z,2022-01-01T22:29:41.661Z,175.56320190,-39.29162216,0.92250326,4.77622843,M,,LOCSAT,confirmed,manual,iasp91,14,12,5,0.01393085,77.01052856,0.07067162,0.00000000
2022p002516,earthquake,2022-01-01T22:21:12.954Z,2022-01-01T22:25:50.414Z,175.56559750,-39.28525543,0.78113238,4.84810162,M,,LOCSAT,preliminary,manual,iasp91,22,14,5,0.01758564,73.44760132,0.81556925,0.00000000
2022p002159,earthquake,2022-01-01T19:10:33.205Z,2022-01-01T19:13:21.061Z,175.57031250,-39.27273560,1.30757127,3.89102745,M,,LOCSAT,confirmed,manual,iasp91,25,18,12,0.00826375,55.33642578,0.12206415,0.00000000
2022p001978,earthquake,2022-01-01T17:34:23.715Z,2022-01-01T17:37:40.131Z,175.57203670,-39.27216721,0.75652005,4.13785362,M,,LOCSAT,confirmed,manual,iasp91,16,13,4,0.00910575,82.58207703,0.06853123,0.00000000
2022p001840,earthquake,2022-01-01T16:21:16.815Z,2022-01-01T16:23:09.183Z,175.54394530,-39.28075027,0.85482659,3.43312550,M,,LOCSAT,preliminary,manual,iasp91,15,12,7,0.01829098,92.39358521,0.08870886,0.00000000
2022p001767,earthquake,2022-01-01T15:41:38.831Z,2022-01-01T15:45:05.827Z,175.55538940,-39.29018784,0.75167252,4.00051785,M,,LOCSAT,confirmed,manual,iasp91,13,11,4,0.01042819,86.66421509,0.07587540,0.00000000
2022p001079,earthquake,2022-01-01T09:35:23.777Z,2022-01-01T10:20:29.464Z,175.54385380,-39.27972794,0.55459701,3.90465164,MLv,,LOCSAT,confirmed,manual,iasp91,17,13,6,0.01817255,92.81561279,0.11101722,0.19107692
2022p000809,earthquake,2022-01-01T07:11:11.160Z,2022-01-01T07:13:07.867Z,175.55418400,-39.28897476,0.81782689,4.40311289,M,,LOCSAT,confirmed,manual,iasp91,22,18,8,0.01099915,68.40046692,0.19880241,0.00000000
2022p000784,earthquake,2022-01-01T06:58:09.492Z,2022-01-01T07:00:39.210Z,175.54650880,-39.28474045,2.22861334,4.41530943,MLv,,LOCSAT,confirmed,manual,iasp91,23,19,30,0.01409406,70.09231567,0.08348454,0.23271105
2021p985610,earthquake,2021-12-31T16:13:04.183Z,2021-12-31T16:16:21.864Z,175.56358340,-39.26167679,1.48899244,4.54153824,M,,LOCSAT,confirmed,manual,iasp91,22,18,16,0.00640490,52.61182404,0.10555249,0.00000000
2021p985608,earthquake,2021-12-31T16:12:18.430Z,2021-12-31T16:19:21.185Z,175.57220460,-39.26517868,1.47018527,4.03046036,MLv,,LOCSAT,confirmed,manual,iasp91,19,14,17,0.00862876,58.38154602,0.12242280,0.14327611
2021p983602,earthquake,2021-12-30T22:23:25.223Z,2021-12-30T22:30:14.734Z,175.57598880,-39.27474976,0.79505893,4.31934786,M,,LOCSAT,confirmed,manual,iasp91,15,13,3,0.01304991,124.96437070,0.09058771,0.00000000
2021p983444,earthquake,2021-12-30T20:59:14.261Z,2021-12-30T21:56:38.976Z,175.57263180,-39.27186966,0.43461885,4.35119295,M,,LOCSAT,confirmed,manual,iasp91,14,12,2,0.00938795,79.30502319,0.08980100,0.00000000
2021p981942,earthquake,2021-12-30T07:39:02.973Z,2021-12-30T07:46:10.135Z,175.54176330,-39.26472092,0.57234904,4.38805246,MLv,,LOCSAT,confirmed,manual,iasp91,10,8,3,0.01306646,188.30054980,0.10731195,0.22189690
2021p981873,earthquake,2021-12-30T07:02:05.611Z,2021-12-30T07:04:38.024Z,175.55320740,-39.26603699,0.79273712,4.30765629,M,,LOCSAT,confirmed,manual,iasp91,13,11,5,0.00682462,165.47949220,0.09517307,0.00000000
2021p805875,earthquake,2021-10-26T04:12:00.524Z,2021-10-26T04:17:38.919Z,175.59580990,-39.24802780,0.72952846,8.23900032,M,,LOCSAT,confirmed,manual,iasp91,12,10,6,0.06347887,140.32951350,0.15726721,0.00000000
2021p521501,earthquake,2021-07-12T22:56:03.385Z,2021-07-12T23:29:24.934Z,175.57173160,-39.26942444,2.36647199,0.00000000,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,5,5,11,0.00796183,180.18908690,0.63236150,0.24893315
2021p492295,earthquake,2021-07-02T03:35:32.187Z,2021-07-02T03:45:34.318Z,175.60864260,-39.29122925,1.11787601,4.20675802,M,,LOCSAT,confirmed,manual,iasp91,19,15,16,0.01783508,96.52552032,0.22175489,0.00000000
2021p492285,earthquake,2021-07-02T03:29:33.486Z,2021-07-02T03:55:17.942Z,175.60890200,-39.27667999,0.26785556,5.33546305,M,,LOCSAT,confirmed,manual,iasp91,16,12,7,0.01680087,114.01799010,0.16378027,0.00000000
2021p379397,earthquake,2021-05-21T09:03:14.458Z,2021-05-21T09:34:14.139Z,175.53575130,-39.26057816,0.45562803,0.00000000,M,operator assigned,LOCSAT,preliminary,manual,iasp91,6,6,3,0.01448841,260.93275450,0.38763126,0.00000000
2021p311765,earthquake,2021-04-26T08:28:57.415Z,2021-04-26T08:33:34.717Z,175.56639100,-39.28702545,1.16139011,4.32669115,M,,LOCSAT,confirmed,manual,iasp91,16,11,6,0.01781285,73.24842834,0.07841834,0.00000000
2020p980364,earthquake,2020-12-28T17:37:57.338Z,2020-12-28T17:45:16.465Z,175.51768490,-39.29412842,0.82931879,7.15880156,M,,LOCSAT,confirmed,manual,iasp91,23,13,5,0.04775412,158.08231830,0.39040341,0.00000000
2020p973656,earthquake,2020-12-26T06:03:57.599Z,2020-12-26T06:48:04.823Z,175.56030270,-39.28073502,2.24178588,3.00000000,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,17,13,0.01284715,121.62631230,0.81871107,0.33231335
2020p971694,earthquake,2020-12-25T12:39:04.598Z,2020-12-25T13:00:33.707Z,175.55767820,-39.28627014,1.06728141,2.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,6,6,7,0.01467995,140.76361080,0.46659500,0.00000000
2020p971608,earthquake,2020-12-25T11:53:08.367Z,2020-12-25T12:06:34.845Z,175.54173280,-39.27850723,0.82006531,5.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,6,6,5,0.01874000,213.41855240,0.30370905,0.00000000
2020p950398,earthquake,2020-12-17T15:32:23.718Z,2020-12-17T15:36:11.823Z,175.57266240,-39.27445602,0.89760726,4.40920734,M,,LOCSAT,confirmed,manual,iasp91,17,11,8,0.01075236,89.02682495,0.11626194,0.00000000
2020p867719,earthquake,2020-11-17T01:21:19.311Z,2020-11-17T01:56:51.513Z,175.56698610,-39.27886200,0.70717277,5.00000000,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,7,6,6,0.01168865,118.74191280,0.48625090,0.25716091
2020p770381,earthquake,2020-10-12T01:00:52.835Z,2020-10-12T01:10:51.739Z,175.55966190,-39.27803040,0.97010062,3.16968393,M,,LOCSAT,confirmed,manual,iasp91,7,5,5,0.01022132,143.38583370,0.14944905,0.00000000
2020p437510,earthquake,2020-06-10T21:05:58.635Z,2020-06-10T21:07:33.102Z,175.56239320,-39.28567505,1.13982451,3.87038279,M,,LOCSAT,confirmed,manual,iasp91,19,15,8,0.01732364,77.86041260,0.09876838,0.00000000
2020p405225,not locatable,2020-05-29T22:24:04.673Z,2020-05-29T22:34:01.293Z,175.59022520,-39.31404114,0.88428769,5.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,2,0.01422665,139.36898800,1.63960072,0.00000000
2020p382141,earthquake,2020-05-21T09:24:48.945Z,2020-05-21T09:33:14.744Z,175.51679990,-39.25571442,0.91228910,5.93119383,M,,LOCSAT,confirmed,manual,iasp91,16,13,1,0.02807630,184.04561040,0.16033585,0.00000000
2020p189473,earthquake,2020-03-11T02:31:47.370Z,2020-03-11T02:40:03.882Z,175.56176760,-39.26869202,0.45232211,3.97346711,M,,LOCSAT,confirmed,manual,iasp91,11,9,3,0.01534212,244.27185820,0.08566312,0.00000000
2020p178270,earthquake,2020-03-06T23:02:49.015Z,2020-03-07T00:19:24.518Z,175.58541870,-39.30577469,0.64199417,4.55630589,M,,LOCSAT,confirmed,manual,iasp91,14,9,7,0.11895777,100.62861630,0.14589417,0.00000000
2020p170347,earthquake,2020-03-04T00:41:50.074Z,2020-03-04T00:44:14.948Z,175.57917790,-39.29611206,0.70352493,5.75729847,M,,LOCSAT,confirmed,manual,iasp91,19,11,5,0.02448070,98.93709540,0.35212464,0.00000000
2020p141714,not locatable,2020-02-22T10:25:45.288Z,2020-02-22T10:37:06.122Z,175.56686400,-39.28310776,0.52599750,0.00000000,M,,LOCSAT,confirmed,manual,iasp91,4,4,3,0.01570166,135.33332060,0.03904553,0.00000000
2020p140903,not locatable,2020-02-22T03:13:36.000Z,2020-02-22T17:58:21.660Z,175.57000000,-39.30000000,0.84014435,0.00000000,M,,,confirmed,manual,,0,0,4,0.00000000,0.00000000,20.28591151,0.00000000
2020p140830,earthquake,2020-02-22T02:34:43.113Z,2020-02-22T02:40:11.438Z,175.55957030,-39.28786469,1.25869245,3.65912414,M,,LOCSAT,confirmed,manual,iasp91,24,20,10,0.01423898,72.78694153,0.11285716,0.00000000
2020p140640,not locatable,2020-02-22T00:53:52.516Z,2020-02-22T03:28:34.815Z,175.54870610,-39.28649139,1.63646632,0.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,15,7,0.03167640,201.41697690,1.18665992,0.00000000
2020p135515,earthquake,2020-02-20T03:22:36.005Z,2020-02-20T03:39:43.520Z,175.55050660,-39.28930664,0.78681945,4.37963677,M,,LOCSAT,confirmed,manual,iasp91,17,12,13,0.00972315,68.11648560,0.17173183,0.00000000
2020p044255,not locatable,2020-01-17T09:00:10.339Z,2020-01-17T09:31:42.991Z,175.58752940,-39.29282643,0.73883666,5.05859375,M,,NonLinLoc,confirmed,manual,nz3drx,16,16,8,0.01042342,103.04498240,0.47034863,0.00000000
2019p905732,earthquake,2019-12-02T02:54:52.425Z,2019-12-02T03:17:06.660Z,175.58047490,-39.29776382,0.17025143,5.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,8,7,1,0.03215591,178.22740170,0.32896575,0.00000000
2019p772371,earthquake,2019-10-13T18:40:06.826Z,2019-10-13T18:50:22.813Z,175.56875610,-39.27767563,0.18632191,4.39277840,M,,LOCSAT,confirmed,manual,iasp91,15,11,5,0.01119678,175.15019230,0.07486828,0.00000000
2019p705089,not locatable,2019-09-18T21:11:44.510Z,2019-09-18T23:06:09.369Z,175.55170250,-39.31111990,0.77881981,5.46875000,M,,NonLinLoc,preliminary,automatic,nz3drx,10,10,8,0.04122065,324.23326410,0.47102162,0.00000000
2019p595053,earthquake,2019-08-09T04:05:01.306Z,2019-08-09T04:27:46.182Z,175.56085210,-39.28430557,0.76343546,1.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,5,5,7,0.01767091,160.62067510,0.23828236,0.00000000
2019p488400,earthquake,2019-06-30T16:59:44.285Z,2019-06-30T17:02:51.183Z,175.55247500,-39.31954193,0.69902002,7.01041842,M,,LOCSAT,confirmed,manual,iasp91,18,16,10,0.02100992,125.73210140,0.18289935,0.00000000
2019p301636,earthquake,2019-04-22T14:31:56.545Z,2019-04-22T14:41:24.744Z,175.55691530,-39.26934433,0.98707346,5.00000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,12,7,0.00395106,154.42822270,0.42016483,0.00000000
2019p156582,earthquake,2019-02-27T22:27:20.129Z,2019-02-27T22:30:18.959Z,175.57804870,-39.27275848,0.91143872,3.48029590,M,,LOCSAT,confirmed,manual,iasp91,15,12,7,0.01271369,68.79348755,0.05510209,0.00000000
